10月10日,三浦 ,接待費,6800,15
10月10日,斉藤 ,接待費,4400,19
10月10日,森 ,厚生費,3400,14
10月10日,太田 ,減価償却費,1900,13
10月10日,山本 ,給　料,4000,12
10月10日,西村 ,交通費,3500,12
10月10日,松田 ,接待費,9500,06
10月10日,山本 ,給　料,9000,11
10月10日,加藤 ,保険料,8300,15
10月10日,中村 ,租税公課,1600,15
10月10日,斎藤 ,広告費,6300,14
10月10日,吉田 ,交際費,6400,20
10月10日,鈴木 ,交通費,3400,13
10月10日,小川 ,租税公課,1500,15
10月10日,小林 ,保険料,1600,10
10月10日,山下 ,給　料,3900,11
10月10日,藤田 ,光熱費,9200,19
10月10日,後藤 ,雑　費,5400,14
10月10日,斎藤 ,租税公課,2400,06
10月10日,岡本 ,給　料,2600,01
10月10日,山口 ,租税公課,7600,17
10月10日,林 ,厚生費,4600,13
10月10日,西村 ,減価償却費,2400,14
10月10日,高橋 ,広告費,9800,04
10月10日,近藤 ,保険料,2700,12
10月10日,前田 ,交通費,400,10
10月10日,西村 ,地代家賃,700,17
10月10日,斎藤 ,保険料,2200,16
10月11日,石川 ,給　料,6300,02
10月11日,田中 ,消耗品費,3000,11
10月11日,岡田 ,交際費,9600,18
10月11日,高橋 ,光熱費,3900,16
10月11日,岡本 ,広告費,1800,12
10月11日,田中 ,雑　費,5100,20
10月11日,中村 ,広告費,2200,15
10月11日,石井 ,地代家賃,5800,20
10月11日,木村 ,減価償却費,5900,05
10月11日,前田 ,通信費,500,20
10月11日,山口 ,給　料,2700,13
10月11日,清水 ,交際費,7300,15
10月11日,加藤 ,雑　費,2400,17
10月11日,岡田 ,通信費,8700,20
10月11日,村上 ,接待費,100,07
10月11日,中川 ,消耗品費,7900,04
10月11日,前田 ,減価償却費,9100,02
10月11日,中川 ,雑　費,4700,03
10月11日,高橋 ,接待費,8600,08
10月11日,青木 ,租税公課,9300,07
10月11日,林 ,光熱費,9700,11
10月11日,山口 ,地代家賃,8200,05
10月11日,藤田 ,接待費,8100,16
10月11日,阿部 ,光熱費,5100,13
10月11日,阿部 ,保険料,8200,01
10月11日,鈴木 ,租税公課,4400,07
10月11日,山本 ,雑　費,200,05
10月11日,藤田 ,給　料,9900,03
10月11日,佐々木 ,交通費,6800,09
10月12日,木村 ,保険料,9600,15
10月12日,福田 ,消耗品費,1300,14
10月12日,村上 ,広告費,2400,18
10月12日,山口 ,厚生費,3500,17
10月12日,岡田 ,雑　費,2600,06
10月12日,渡辺 ,保険料,2400,16
10月12日,西村 ,雑　費,4700,19
10月12日,山本 ,給　料,4400,16
10月12日,山田 ,消耗品費,7600,17
10月12日,中川 ,雑　費,9800,11
10月12日,松本 ,厚生費,1300,20
10月12日,渡辺 ,厚生費,3000,08
10月12日,木村 ,広告費,6200,04
10月12日,福田 ,給　料,7200,17
10月12日,清水 ,交通費,2800,01
10月12日,長谷川 ,雑　費,2300,05
10月12日,中村 ,交通費,8600,18
10月12日,長谷川 ,減価償却費,6600,16
10月12日,斎藤 ,保険料,2300,16
10月12日,山本 ,保険料,7300,03
10月12日,三浦 ,光熱費,6900,03
10月12日,石井 ,給　料,5700,05
10月13日,木村 ,地代家賃,8600,16
10月13日,藤井 ,広告費,5400,09
10月13日,三浦 ,雑　費,2500,19
10月13日,小川 ,交際費,1700,01
10月13日,山本 ,租税公課,6900,18
10月13日,小川 ,厚生費,1400,05
10月13日,村上 ,雑　費,9700,05
10月13日,石井 ,交際費,2600,06
10月13日,木村 ,給　料,8600,11
10月13日,岡田 ,租税公課,5200,11
10月13日,山田 ,交際費,600,13
10月13日,遠藤 ,広告費,1400,05
10月13日,加藤 ,通信費,2600,14
10月13日,長谷川 ,雑　費,8100,17
10月13日,森 ,消耗品費,4600,20
10月13日,山口 ,光熱費,9800,13
10月13日,佐藤 ,租税公課,8100,16
10月13日,林 ,広告費,700,11
10月13日,伊藤 ,交際費,900,14
10月13日,藤原 ,減価償却費,7500,12
10月13日,近藤 ,租税公課,5600,14
10月13日,近藤 ,雑　費,8100,15
10月13日,石川 ,保険料,9600,08
10月13日,佐藤 ,光熱費,8600,20
10月14日,佐藤 ,保険料,7800,19
10月14日,前田 ,広告費,9500,11
10月14日,鈴木 ,消耗品費,5300,19
10月14日,山本 ,給　料,700,14
10月14日,長谷川 ,広告費,3700,12
10月14日,福田 ,地代家賃,9500,01
10月14日,山田 ,広告費,8100,07
